I, [2017-12-05T03:25:45.382202 #17252]  INFO -- Kitchen: -----> Starting Kitchen (v1.13.2)
E, [2017-12-05T03:25:45.382515 #17252] ERROR -- Kitchen: ------Exception-------
E, [2017-12-05T03:25:45.382551 #17252] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-12-05T03:25:45.382569 #17252] ERROR -- Kitchen: Message: Kitchen YAML file /home/chef-repo/cookbooks/tomcat/recipes/.kitchen.yml does not exist.
E, [2017-12-05T03:25:45.382582 #17252] ERROR -- Kitchen: ----------------------
E, [2017-12-05T03:25:45.382600 #17252] ERROR -- Kitchen: ------Backtrace-------
E, [2017-12-05T03:25:45.382619 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2017-12-05T03:25:45.382632 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:154:in `data'
E, [2017-12-05T03:25:45.382643 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:133:in `suites'
E, [2017-12-05T03:25:45.382655 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:184:in `filter_instances'
E, [2017-12-05T03:25:45.382666 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:143:in `build_instances'
E, [2017-12-05T03:25:45.382677 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:119:in `instances'
E, [2017-12-05T03:25:45.382689 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2017-12-05T03:25:45.382700 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2017-12-05T03:25:45.382711 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2017-12-05T03:25:45.382722 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-12-05T03:25:45.382733 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/action.rb:37:in `call'
E, [2017-12-05T03:25:45.382757 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:56:in `perform'
E, [2017-12-05T03:25:45.382770 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:186:in `block (2 levels) in <class:CLI>'
E, [2017-12-05T03:25:45.382782 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-12-05T03:25:45.382794 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-12-05T03:25:45.382806 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-12-05T03:25:45.382818 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-12-05T03:25:45.382830 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-12-05T03:25:45.382851 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `block in <top (required)>'
E, [2017-12-05T03:25:45.382863 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2017-12-05T03:25:45.382875 #17252] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `<top (required)>'
E, [2017-12-05T03:25:45.382900 #17252] ERROR -- Kitchen: /bin/kitchen:21:in `load'
E, [2017-12-05T03:25:45.382910 #17252] ERROR -- Kitchen: /bin/kitchen:21:in `<main>'
E, [2017-12-05T03:25:45.382930 #17252] ERROR -- Kitchen: ----End Backtrace-----
