I, [2017-12-04T04:16:22.730807 #8806]  INFO -- Kitchen: -----> Starting Kitchen (v1.13.2)
E, [2017-12-04T04:16:22.731094 #8806] ERROR -- Kitchen: ------Exception-------
E, [2017-12-04T04:16:22.731130 #8806] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-12-04T04:16:22.731154 #8806] ERROR -- Kitchen: Message: Kitchen YAML file /home/chef-repo/cookbooks/tomcat/spec/unit/.kitchen.yml does not exist.
E, [2017-12-04T04:16:22.731167 #8806] ERROR -- Kitchen: ----------------------
E, [2017-12-04T04:16:22.731178 #8806] ERROR -- Kitchen: ------Backtrace-------
E, [2017-12-04T04:16:22.731188 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2017-12-04T04:16:22.731199 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:154:in `data'
E, [2017-12-04T04:16:22.731210 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:133:in `suites'
E, [2017-12-04T04:16:22.731221 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:184:in `filter_instances'
E, [2017-12-04T04:16:22.731232 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:143:in `build_instances'
E, [2017-12-04T04:16:22.731243 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:119:in `instances'
E, [2017-12-04T04:16:22.731254 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2017-12-04T04:16:22.731264 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2017-12-04T04:16:22.731307 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2017-12-04T04:16:22.731321 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-12-04T04:16:22.731333 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/action.rb:37:in `call'
E, [2017-12-04T04:16:22.731355 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:56:in `perform'
E, [2017-12-04T04:16:22.731367 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:186:in `block (2 levels) in <class:CLI>'
E, [2017-12-04T04:16:22.731386 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-12-04T04:16:22.731397 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-12-04T04:16:22.731423 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-12-04T04:16:22.731439 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-12-04T04:16:22.731452 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-12-04T04:16:22.731465 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `block in <top (required)>'
E, [2017-12-04T04:16:22.731478 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2017-12-04T04:16:22.731490 #8806] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `<top (required)>'
E, [2017-12-04T04:16:22.731502 #8806] ERROR -- Kitchen: /bin/kitchen:21:in `load'
E, [2017-12-04T04:16:22.731513 #8806] ERROR -- Kitchen: /bin/kitchen:21:in `<main>'
E, [2017-12-04T04:16:22.731532 #8806] ERROR -- Kitchen: ----End Backtrace-----
